symbol,name,theme,bucket,priority,market,sector,asset_type,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
4502.T,武田薬品工業,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4503.T,アステラス製薬,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4506.T,住友ファーマ,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4507.T,塩野義製薬,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4516.T,日本新薬,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4519.T,中外製薬,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4523.T,エーザイ,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4527.T,ロート製薬,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4528.T,小野薬品工業,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4530.T,久光製薬,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4536.T,参天製薬,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4540.T,ツムラ,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4543.T,テルモ,Japan Quality / Prime 150,Core,A,Prime/TOPIX,精密機器,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4544.T,Ｈ．Ｕ．グループホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,サービス業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4568.T,第一三共,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4578.T,大塚ホールディングス,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4587.T,ペプチドリーム,Japan TOPIX 500,Core,A,Prime/TOPIX,医薬品,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4612.T,日本ペイントホールディングス,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4613.T,関西ペイント,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4626.T,太陽ホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4631.T,ＤＩＣ,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4661.T,オリエンタルランド,Japan Quality / Prime 150,Core,A,Prime/TOPIX,サービス業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4665.T,ダスキン,Japan TOPIX 500,Core,A,Prime/TOPIX,サービス業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4666.T,パーク２４,Japan Quality / Prime 150,Core,A,Prime/TOPIX,不動産業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4676.T,フジ・メディア・ホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,情報・通信業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4680.T,ラウンドワン,Japan TOPIX 500,Core,A,Prime/TOPIX,サービス業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4681.T,リゾートトラスト,Japan TOPIX 500,Core,A,Prime/TOPIX,サービス業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
