symbol,local_code,company_name,market,sector_33_code,sector_33_name,sector_17_code,sector_17_name,size_code,size_name,effective_date,source,updated_at
7325.T,7325,アイリックコーポレーション,グロース（内国株式）,7150,保険業,0016,金融（除く銀行）,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7326.T,7326,ＳＢＩインシュアランスグループ,グロース（内国株式）,7150,保険業,0016,金融（除く銀行）,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7327.T,7327,第四北越フィナンシャルグループ,プライム（内国株式）,7050,銀行業,0015,銀行,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7337.T,7337,ひろぎんホールディングス,プライム（内国株式）,7050,銀行業,0015,銀行,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7343.T,7343,ブロードマインド,グロース（内国株式）,7150,保険業,0016,金融（除く銀行）,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7345.T,7345,アイ・パートナーズフィナンシャル,グロース（内国株式）,7200,その他金融業,0016,金融（除く銀行）,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7347.T,7347,マーキュリアホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,0016,金融（除く銀行）,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7350.T,7350,おきなわフィナンシャルグループ,プライム（内国株式）,7050,銀行業,0015,銀行,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7351.T,7351,グッドパッチ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7352.T,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7353.T,7353,ＫＩＹＯラーニング,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7354.T,7354,ダイレクトマーケティングミックス,スタンダード（内国株式）,9050,サービス業,0010,情報通信・サービスその他,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7355.T,7355,一寸房,PRO Market,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7356.T,7356,Ｒｅｔｔｙ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7357.T,7357,ジオコード,スタンダード（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7358.T,7358,ポピンズ,スタンダード（内国株式）,9050,サービス業,0010,情報通信・サービスその他,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7359.T,7359,東京通信グループ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7360.T,7360,オンデック,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7361.T,7361,ヒューマンクリエイションホールディングス,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7362.T,7362,Ｔ．Ｓ．Ｉ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7363.T,7363,ベビーカレンダー,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7364.T,7364,琉球アスティーダスポーツクラブ,PRO Market,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7366.T,7366,ＬＩＴＡＬＩＣＯ,プライム（内国株式）,9050,サービス業,0010,情報通信・サービスその他,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7367.T,7367,セルム,スタンダード（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7368.T,7368,表示灯,スタンダード（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7369.T,7369,メイホーホールディングス,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7370.T,7370,Ｅｎｊｉｎ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7371.T,7371,Ｚｅｎｋｅｎ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7372.T,7372,デコルテ・ホールディングス,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7373.T,7373,アイドマ・ホールディングス,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7374.T,7374,コンフィデンス・インターワークス,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7375.T,7375,リファインバースグループ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7376.T,7376,ＢＣＣ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7377.T,7377,ＤＮホールディングス,スタンダード（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7378.T,7378,アシロ,グロース（内国株式）,9050,サービス業,0010,情報通信・サービスその他,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7380.T,7380,十六フィナンシャルグループ,プライム（内国株式）,7050,銀行業,0015,銀行,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7381.T,7381,ＣＣＩグループ,プライム（内国株式）,7050,銀行業,0015,銀行,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7383.T,7383,ネットプロテクションズホールディングス,プライム（内国株式）,7200,その他金融業,0016,金融（除く銀行）,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7384.T,7384,プロクレアホールディングス,プライム（内国株式）,7050,銀行業,0015,銀行,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7388.T,7388,ＦＰパートナー,プライム（内国株式）,7150,保険業,0016,金融（除く銀行）,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7389.T,7389,あいちフィナンシャルグループ,プライム（内国株式）,7050,銀行業,0015,銀行,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7399.T,7399,ナンシン,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7409.T,7409,ＡｅｒｏＥｄｇｅ,グロース（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7412.T,7412,アトム,スタンダード（内国株式）,6100,小売業,0014,小売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7413.T,7413,創健社,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7414.T,7414,小野建,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7416.T,7416,はるやまホールディングス,スタンダード（内国株式）,6100,小売業,0014,小売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7417.T,7417,南陽,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7419.T,7419,ノジマ,プライム（内国株式）,6100,小売業,0014,小売,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7421.T,7421,カッパ・クリエイト,プライム（内国株式）,6100,小売業,0014,小売,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7422.T,7422,東邦レマック,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7425.T,7425,初穂商事,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7426.T,7426,山大,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7427.T,7427,エコートレーディング,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7433.T,7433,伯東,プライム（内国株式）,6050,卸売業,0013,商社・卸売,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7434.T,7434,オータケ,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7435.T,7435,ナ・デックス,スタンダード（内国株式）,6050,卸売業,0013,商社・卸売,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
